i	j	1	2	3	4	5	6	7	8	9	10
9	9	40	30	20	10	9	5	8	7	10	20
9	10	40	30	20	10	9	5	8	7	10	20
10	1	40	30	20	10	9	5	8	7	10	20
10	2	40	30	20	10	9	5	8	7	10	20
10	3	40	30	20	10	9	5	8	7	10	20
10	4	40	30	20	10	9	5	8	7	10	20
10	5	40	30	20	10	9	5	8	7	10	20
10	6	40	30	20	10	9	5	8	7	10	20
10	7	40	30	20	10	9	5	8	7	10	20
10	8	40	30	20	10	9	5	8	7	10	20
10	9	40	30	20	10	9	5	8	7	10	20
10	10	40	30	20	10	9	5	8	7	10	20
11	1	40	30	20	10	9	5	8	7	10	20
11	2	40	30	20	10	9	5	8	7	10	20
11	3	40	30	20	10	9	5	8	7	10	20
11	4	40	30	20	10	9	5	8	7	10	20
11	5	40	30	20	10	9	5	8	7	10	20
11	6	40	30	20	10	9	5	8	7	10	20
11	7	40	30	20	10	9	5	8	7	10	20
11	8	40	30	20	10	9	5	8	7	10	20
11	9	40	30	20	10	9	5	8	7	10	20
11	10	40	30	20	10	9	5	8	7	10	20
